0.1,0.995004165
0.2,0.980066578
0.3,0.955336489
0.4,0.921060994
0.5,0.877582562
0.6,0.825335615
0.7,0.764842187
0.8,0.696706709
0.9,0.621609968
1,0.540302306
1.1,0.453596121
1.2,0.362357754
1.3,0.267498829
1.4,0.169967143
1.5,0.070737202
1.6,-0.029199522
1.7,-0.128844494
1.8,-0.227202095
1.9,-0.323289567
2,-0.416146837
2.1,-0.504846105
2.2,-0.588501117
2.3,-0.666276021
2.4,-0.737393716
2.5,-0.801143616
2.6,-0.856888753
2.7,-0.904072142
2.8,-0.942222341
2.9,-0.970958165
3,-0.989992497
3.1,-0.99913515
3.2,-0.998294776
3.3,-0.98747977
3.4,-0.966798193
3.5,-0.936456687
